"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDMV","WESD","WESF"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-16","10.2","16.1","32.8","0.0","0.0","0.0",,"28.9","12.8","69.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-17","4.3","13.3","25.6","0.3","0.0","0.0",,"22.8","8.3","37.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-18","7.1","12.8","28.9","0.0","0.0","0.0",,"24.4","8.3","63.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-19","8.6","13.3","30.0","0.0","0.0","0.0",,"27.8","12.2","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-20","8.4","13.3","31.7","0.0","0.0","0.0",,"30.0","13.3","63.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-21","8.6","16.1","32.8","0.0","0.0","0.0",,"31.7","16.1","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-22","14.7","11.7","30.6","0.0","0.0","0.0",,"27.8","10.6","77.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-23","10.7","6.7","25.0","0.0","0.0","0.0",,"25.0","6.7","85.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-24","6.4","12.8","27.8","0.0","0.0","0.0",,"23.9","8.9","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-25","9.1","12.8","30.0","0.0","0.0","0.0",,"26.7","10.0","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-26","9.4","13.3","30.0","0.0","0.0","0.0",,"25.6","8.3","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-27","8.4","13.9","30.0","0.0","0.0","0.0",,"25.0","8.9","58.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-28","2.8","15.0","23.9","0.5","0.0","0.0",,"22.2","12.8","58.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-29","6.1","18.9","32.2","0.0","0.0","0.0",,"25.6","15.6","58.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-30","8.1","17.8","31.7","0.0","0.0","0.0",,"27.8","12.2","63.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-31","9.9","16.7","32.8","0.0","0.0","0.0",,"30.6","13.9","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-06-01","10.4","16.7","34.4","0.0","0.0","0.0",,"33.9","18.3","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-06-02","11.2","17.2","35.6","0.0","0.0","0.0",,"36.7","20.6","71.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-06-03","10.9","20.6","36.1","0.0","0.0","0.0",,"37.2","16.7","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-06-04","10.9","18.9","35.6","0.0","0.0","0.0",,"35.6","16.1","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-06-05","9.7","18.3","35.0","0.0","0.0","0.0",,"32.8","15.0","58.0",,
